Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
30e Anniversary Beer,Boreale,$17.99,$16.99,$1.00,0.0556
5.5% Alcohol Beer,Molson Dry,$17.99,$16.99,$1.00,0.0556
A Tout le Monde 4.5% Alcohol Beer,Unibroue,$17.99,$16.99,$1.00,0.0556
Ale Cans Premium Quality 5% alc/vol Beer,O'Keefe,$17.99,$16.99,$1.00,0.0556
Beer,Molson Canadian,$17.99,$16.99,$1.00,0.0556
Beer,Rickards,$17.99,$16.99,$1.00,0.0556
Beer Collection,Unibroue,$17.99,$16.99,$1.00,0.0556
Blanche Beer,Boreale,$17.99,$16.99,$1.00,0.0556
Blonde 5.0% Alcohol Beer,Rickard's,$17.99,$16.99,$1.00,0.0556
Blonde Beer,Boreale,$17.99,$16.99,$1.00,0.0556
Bottle Beer,Miller Lite,$17.99,$16.99,$1.00,0.0556
Bottles Beer,Budweiser,$17.99,$16.99,$1.00,0.0556
Bottles Beer,Bud Light,$17.99,$16.99,$1.00,0.0556
Bottles Beer,Coors Light,$17.99,$16.99,$1.00,0.0556
Bottles Beer,Molson Canadian,$17.99,$16.99,$1.00,0.0556
Bottles Beer,Molson Export,$17.99,$16.99,$1.00,0.0556
Bottles Beer,Molson Dry,$17.99,$16.99,$1.00,0.0556
Bottles Beer,Blanche De Chambly,$17.99,$16.99,$1.00,0.0556
Bottles Blue Beer,Labatt,$17.99,$16.99,$1.00,0.0556
Budweiser Beer,Labatt,$17.99,$16.99,$1.00,0.0556
Can 4% Beer,Bud Light,$17.99,$16.99,$1.00,0.0556
Cans Beer,Rickard's Red,$17.99,$16.99,$1.00,0.0556
Cans Beer,Export,$17.99,$16.99,$1.00,0.0556
Cans Beer,Coors Light,$17.99,$16.99,$1.00,0.0556
Cans Beer,Miller Lite,$17.99,$16.99,$1.00,0.0556
Cans Blue Beer,Labatt,$17.99,$16.99,$1.00,0.0556
FMR Selections Beer,Unibroue,$17.99,$16.99,$1.00,0.0556
Golden Beer,Boreale,$17.99,$16.99,$1.00,0.0556
Hops Selection Beer,Boreale,$17.99,$16.99,$1.00,0.0556
IPA Beer,BOREALE,$17.99,$16.99,$1.00,0.0556
Mix Beer,Boreale,$17.99,$16.99,$1.00,0.0556
Radler Grapefruit Beer,Rickard's Radler,$17.99,$16.99,$1.00,0.0556
Red Bottle Beer,Boreale,$17.99,$16.99,$1.00,0.0556
Red Bottles Beer,Rickard's,$17.99,$16.99,$1.00,0.0556
Selection Beer,Boreale,$17.99,$16.99,$1.00,0.0556
Cans Duo 5% Beer,Molson Export,$37.99,$35.99,$2.00,0.0526
Duo Beer,Molson Canadian,$37.99,$35.99,$2.00,0.0526
Lager 5.5% Beer,MOLSON DRY,$37.99,$35.99,$2.00,0.0526
Blanche 5% Beer,Cheval Blanc,$17.49,$16.99,$0.50,0.0286
Blonde Beer,Belle Gueule,$17.49,$16.99,$0.50,0.0286
Bottles Beer,Moosehead,$17.49,$16.99,$0.50,0.0286
Cans Beer,Moose Light,$17.49,$16.99,$0.50,0.0286
extra pale ale Beer,Griffon,$17.49,$16.99,$0.50,0.0286
Grapefruit Radler,Moosehead,$17.49,$16.99,$0.50,0.0286
Houblon 6.2% Beer,Belle Gueule,$17.49,$16.99,$0.50,0.0286
Lager 4.9% Beer,Tremblay,$17.49,$16.99,$0.50,0.0286
Lager 5% Beer,Moosehead,$17.49,$16.99,$0.50,0.0286
Mixed Beer,Belle Gueule,$17.49,$16.99,$0.50,0.0286
Mixed Case Beer,St Ambroise,$17.49,$16.99,$0.50,0.0286
Original Beer,Belle Gueule,$17.49,$16.99,$0.50,0.0286
Pale Ale 5.0% Alcohol Beer,St-Ambroise,$17.49,$16.99,$0.50,0.0286
Pilsner Beer,Belle Gueule,$17.49,$16.99,$0.50,0.0286
Quatuor Beer,Belle Gueule,$17.49,$16.99,$0.50,0.0286
Rousse Beer,Belle Gueule,$17.49,$16.99,$0.50,0.0286
Rousse Beer 5%,ST-AMBROISE,$17.49,$16.99,$0.50,0.0286
Taste Pack Beer,St-Ambroise,$17.49,$16.99,$0.50,0.0286
Red Tempranillo Cabernet Wine,Toro Loco,$12.79,$12.69,$0.10,0.0078
Red Wine,Toro Loco,$12.79,$12.69,$0.10,0.0078
Rose Wine,Toro Loco,$12.79,$12.69,$0.10,0.0078
Verdejo Sauvignon White Wine,Toro Loco,$12.79,$12.69,$0.10,0.0078
White Wine,Toro Loco,$12.79,$12.69,$0.10,0.0078
France Red Cabernet Sauvignon Wine,La Vie est Belle!,$13.79,$13.69,$0.10,0.0073
